
==================== Edge Cut ====================
ParHIP FASTMESH                                   : 57810
ParHIP ULTRAFASTMESH                              : 67400

dKaMinPar create_default_context                  : 55130
dKaMinPar create_strong_context                   : 51129

ParMETIS                                          : 56696

PT-SCOTCH SCOTCH_STRATBALANCE                     : 53672
PT-SCOTCH SCOTCH_STRATQUALITY                     : 54222
PT-SCOTCH SCOTCH_STRATSPEED                       : 52448

Zoltan                                            : 61187
Zoltan2 combinatorial jacobi 4                    : 100490
Zoltan2 combinatorial jacobi 6                    : 100598
Zoltan2 combinatorial jacobi 8                    : 93739
Zoltan2 combinatorial muelu 4                     : 97976
Zoltan2 combinatorial muelu 6                     : 93739
Zoltan2 combinatorial muelu 8                     : 98003
Zoltan2 combinatorial polynomial 4                : 98212
Zoltan2 combinatorial polynomial 6                : 100625
Zoltan2 combinatorial polynomial 8                : 90745
Zoltan2 generalized jacobi 4                      : 92024
Zoltan2 generalized jacobi 6                      : 98350
Zoltan2 generalized jacobi 8                      : 99532
Zoltan2 generalized muelu 4                       : 92350
Zoltan2 generalized muelu 6                       : 92387
Zoltan2 generalized muelu 8                       : 98350
Zoltan2 generalized polynomial 4                  : 92381
Zoltan2 generalized polynomial 6                  : 92350
Zoltan2 generalized polynomial 8                  : 93777


==================== Boundary ====================
Zoltan2 combinatorial polynomial 8                : avg: 3.60  diff: 3.00  avg_dev: 0.88  std_dev: 1.02
Zoltan2 generalized jacobi 4                      : avg: 3.60  diff: 3.00  avg_dev: 0.88  std_dev: 1.02
Zoltan2 generalized jacobi 6                      : avg: 3.80  diff: 4.00  avg_dev: 1.20  std_dev: 1.33
Zoltan2 generalized jacobi 8                      : avg: 4.00  diff: 5.00  avg_dev: 1.00  std_dev: 1.41
Zoltan2 generalized muelu 4                       : avg: 3.60  diff: 3.00  avg_dev: 0.88  std_dev: 1.02
Zoltan2 generalized muelu 6                       : avg: 3.60  diff: 3.00  avg_dev: 0.88  std_dev: 1.02
Zoltan2 generalized muelu 8                       : avg: 3.80  diff: 4.00  avg_dev: 1.20  std_dev: 1.33
Zoltan2 generalized polynomial 4                  : avg: 3.60  diff: 3.00  avg_dev: 0.88  std_dev: 1.02
Zoltan2 generalized polynomial 6                  : avg: 3.60  diff: 3.00  avg_dev: 0.88  std_dev: 1.02
Zoltan2 generalized polynomial 8                  : avg: 3.60  diff: 3.00  avg_dev: 0.80  std_dev: 0.92


==================== Comps ====================
ParHIP FASTMESH                                   : avg: 1.10  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
ParHIP ULTRAFASTMESH                              : avg: 1.40  diff: 2.00  avg_dev: 0.56  std_dev: 0.66

dKaMinPar create_default_context                  : avg: 1.20  diff: 1.00  avg_dev: 0.32  std_dev: 0.40
dKaMinPar create_strong_context                   : avg: 1.30  diff: 2.00  avg_dev: 0.48  std_dev: 0.64

ParMETIS                                          : avg: 1.10  diff: 1.00  avg_dev: 0.18  std_dev: 0.30

PT-SCOTCH SCOTCH_STRATBALANCE                     : avg: 1.10  diff: 1.00  avg_dev: 0.18  std_dev: 0.30
